,x,y
0,0.328553,0.220345
1,0.0317349,0.542671
2,0.042037,0.56037
3,0.0528704,0.578722
4,0.0933374,0.443398
5,0.0484053,0.567455
6,0.300272,0.208741
7,0.0806702,0.630423
8,0.105805,0.440699
9,0.101986,0.435262
10,0.0979401,0.66005
11,0.118289,0.696487
12,0.249333,0.432
13,0.0380439,0.554423
14,0.378268,0.354539
15,0.153887,0.753765
16,0.332678,0.217493
17,0.103904,0.66338
18,0.0740741,0.615567
19,0.649537,0.172854
20,0.103009,0.365355
21,0.184716,0.220099
22,0.23538,0.198557
23,0.293361,0.074015
24,0.161211,0.245579
25,0.0952192,0.442725
26,0.101813,0.434581
27,0.144912,0.737037
28,0.191748,0.733642
29,0.210696,0.727059
30,0.121018,0.695577
31,0.12667,0.70383
32,0.0686869,0.609933
33,0.116829,0.692145
34,0.106082,0.671967
35,0.114348,0.686276
36,0.157021,0.762393
37,0.129207,0.712238
38,0.0919688,0.445926
39,0.142981,0.730463
40,0.161722,0.747296
41,0.316134,0.0751852
42,0.649826,0.133256
43,0.0308345,0.542124
44,0.242677,0.191604
45,0.29598,0.0949187
46,0.383584,0.0748071
47,0.0412645,0.558623
48,0.0325019,0.54195
49,0.105483,0.665868
50,0.0516666,0.572016
51,0.56661,0.117236
52,0.0382132,0.488814
53,0.0758857,0.470028
54,0.0765564,0.616174
55,0.0827279,0.624448
56,0.0597176,0.588027
57,0.131828,0.713569
58,0.0614166,0.588908
59,0.0603621,0.592052
60,0.105996,0.670169
61,0.0710053,0.600176
62,0.120583,0.691937
63,0.0586034,0.586111
64,0.124216,0.383028
65,0.0171111,0.511815
66,0.0357143,0.545482
67,0.0822104,0.630733
68,0.143343,0.728278
69,0.0888408,0.4462
70,0.061462,0.589961
71,0.0399878,0.553256
72,0.0567431,0.539734
73,0.0349794,0.542161
74,0.0592945,0.484991
75,0.0949912,0.442645
76,0.0206536,0.512135
77,0.0376906,0.539779
78,0.030102,0.527721
79,0.0702005,0.460007
80,0.0840596,0.452106
81,0.0871823,0.446696
82,0.0888889,0.446156
83,0.0888228,0.449008
84,0.0538959,0.579752
85,0.0616606,0.595747
86,0.119969,0.697213
87,0.082826,0.449493
88,0.117827,0.560765
89,0.334321,0.652346
90,0.0431774,0.564133
91,0.546032,0.098201
92,0.534512,0.0847924
93,0.617253,0.0765588
94,0.0570668,0.474372
95,0.0674272,0.453935
96,0.456166,0.0730008
97,0.10687,0.455317
98,0.0955517,0.44034
99,0.0530803,0.58073
100,0.0938195,0.441875
101,0.550309,0.0804012
102,0.0471216,0.568619
103,0.11917,0.441982
104,0.0186772,0.507936
105,0.571469,0.11615
106,0.169392,0.464191
107,0.0522037,0.578556
108,0.0728695,0.59813
109,0.0714647,0.455387
110,0.0845062,0.449167
111,0.0315779,0.541956
112,0.0752753,0.617217
113,0.153537,0.748148
114,0.0898929,0.508902
115,0.14082,0.474921
116,0.111279,0.420707
117,0.124903,0.446984
118,0.0152007,0.509799
119,0.0979905,0.656482
120,0.243347,0.0910609
121,0.251287,0.0875791
122,0.125521,0.704065
123,0.0970782,0.439424
124,0.0625272,0.58553
125,0.0677848,0.475332
126,0.059321,0.592654
127,0.0983092,0.657263
128,0.0572037,0.58637
129,0.0201289,0.491425
130,0.089245,0.643875
131,0.140941,0.73023
132,0.0561619,0.568191
133,0.0686294,0.57409
134,0.0823903,0.613615
135,0.145178,0.737701
136,0.164963,0.773852
137,0.544009,0.817556
138,0.124356,0.701711
139,0.154245,0.74993
140,0.0921957,0.647404
141,0.655575,0.868421
142,0.0187757,0.488066
143,0.0500356,0.572329
144,0.0200065,0.485747
145,0.167687,0.773148
146,0.488227,0.0729403
147,0.653835,0.266741
148,0.528893,0.0780724
149,0.153047,0.750657
150,0.163307,0.77205
151,0.0364834,0.542669
152,0.0993827,0.446053
153,0.0366213,0.545559
154,0.0187037,0.491049
155,0.0480915,0.459429
156,0.0338112,0.54771
157,0.0574452,0.588794
158,0.0204454,0.4755
159,0.0418737,0.462854
160,0.0825697,0.448435
161,0.0175292,0.514866
162,0.0173333,0.51963
163,0.0511156,0.478291
164,0.0846684,0.636413
165,0.748901,0.0871312
166,0.683099,0.0900171
