,x,y
0,0.0356143,0.55262
1,0.042039,0.559259
2,0.082209,0.379894
3,0.0728927,0.592561
4,0.0159722,0.51548
5,0.0613792,0.481116
6,0.328346,0.275556
7,0.360459,0.295644
8,0.587901,0.178765
9,0.0868863,0.368885
10,0.390175,0.600819
11,0.164015,0.591975
12,0.471386,0.125299
13,0.540162,0.100868
14,0.297386,0.140051
15,0.655154,0.160776
16,0.279993,0.154365
17,0.313309,0.6058
18,0.381622,0.121296
19,0.631573,0.503097
20,0.735323,0.344002
21,0.306443,0.925545
22,0.186111,0.542974
23,0.695546,0.305405
24,0.298504,0.589031
25,0.225225,0.572748
26,0.252881,0.57963
27,0.484619,0.0780607
28,0.0324271,0.462589
29,0.204062,0.183732
30,0.0175084,0.52399
31,0.0482067,0.571092
32,0.273574,0.542217
33,0.504886,0.0790386
34,0.511594,0.0907005
35,0.72002,0.295796
36,0.414695,0.117951
37,0.346516,0.288889
38,0.488313,0.105597
39,0.689278,0.285185
40,0.177567,0.558275
41,0.266736,0.582639
42,0.326467,0.578797
43,0.517784,0.104703
44,0.302616,0.591667
45,0.184661,0.511358
46,0.114872,0.541168
47,0.173338,0.546398
48,0.229584,0.428532
49,0.371892,0.121032
50,0.185899,0.537884
51,0.19053,0.482955
52,0.123967,0.544096
53,0.179136,0.543753
54,0.335694,0.828867
55,0.324414,0.306711
56,0.203009,0.83104
57,0.389877,0.758716
58,0.607071,0.502525
59,0.257778,0.557843
60,0.0667839,0.603821
61,0.352866,0.288007
62,0.195301,0.525456
63,0.247149,0.565424
64,0.318273,0.565169
65,0.382716,0.309968
66,0.550781,0.250736
67,0.0355465,0.469264
68,0.323494,0.132283
69,0.485814,0.140741
70,0.515075,0.0959389
71,0.336147,0.280303
72,0.480216,0.086142
73,0.425238,0.0772752
74,0.335138,0.281671
75,0.320599,0.129351
76,0.487291,0.286048
77,0.0596186,0.429243
78,0.199259,0.750324
79,0.336588,0.567246
80,0.759353,0.900093
81,0.232302,0.115559
82,0.324627,0.794733
83,0.483333,0.0733218
84,0.266318,0.803623
85,0.105631,0.669274
86,0.0501389,0.572708
87,0.362778,0.796379
88,0.055766,0.417908
89,0.1134,0.32114
90,0.354151,0.777607
91,0.576707,0.0779225
92,0.0361229,0.549789
93,0.0661558,0.594551
94,0.304981,0.572839
95,0.0353854,0.458759
96,0.264928,0.161905
97,0.326104,0.805979
98,0.0376383,0.450625
99,0.421881,0.0747319
100,0.48575,0.0745135
101,0.172742,0.25201
102,0.0554701,0.45359
103,0.35444,0.784137
104,0.0877637,0.635701
105,0.0750712,0.616524
106,0.427718,0.0727001
107,0.277567,0.191772
108,0.468899,0.0740741
109,0.312689,0.272314
110,0.29497,0.800425
111,0.0849164,0.410155
112,0.392093,0.111611
113,0.307651,0.617617
